method,lib_limit,sublibs,n_covered,total_lib_size,time,max_mem
DeCoDe,10000000,1,32,9437184,135.91,1284848.0
DeCoDe,10000000,2,50,9437184,58075.0,4375912.0
DeCoDe,10000000,3,66,9093120,172954.0,16891536.0
DeCoDe,10000000,4,74,7512064,173028.0,14081448.0
DeCoDe,10000000,8,103,8595200,173829.0,76521740.0
DeCoDe,10000000,12,121,7640832,174172.0,80910268.0
